PGM_GRP_ID_S,PERIOD,prc_lb,prc_ub
68913,2,3.8,9.5
68913,3,3.8,9.5
68913,4,3.8,9.5
68913,99,1.43,8.08
10273,1,9.18,22.94
10273,2,9.18,22.94
10273,3,9.18,22.94
10273,4,9.18,22.94
10273,99,3.44,19.5
68625,1,9.98,24.94
68625,2,9.98,24.94
68625,3,9.98,24.94
68625,4,9.98,24.94
68625,99,3.74,21.2
69411,1,9.98,24.94
69411,2,9.98,24.94
69411,3,9.98,24.94
69411,4,9.98,24.94
69411,99,3.74,21.2
1895,1,3.98,9.94
1895,2,3.98,9.94
1895,3,3.98,9.94
1895,99,1.49,8.45
72843,1,5.18,12.94
72843,2,5.18,12.94
72843,99,1.94,11
373,1,2.38,5.94
373,2,2.38,5.94
373,3,2.38,5.94
373,4,2.38,5.94
373,99,0.89,5.05
10121,1,3.98,9.94
10121,2,3.98,9.94
10121,99,1.49,8.45
10093,3,3.58,8.94
10093,4,3.58,8.94
10095,1,2.38,5.94
10095,2,2.38,5.94
10095,3,2.38,5.94
10095,4,2.38,5.94
10095,99,0.89,5.05
72493,1,5.98,14.94
72493,2,5.98,14.94
70813,1,5.98,14.94
70813,2,5.98,14.94
70813,99,2.24,12.7
70813,3,5.98,14.94
70813,4,5.98,14.94
72239,1,5.18,12.94
72239,2,5.18,12.94
72239,99,1.94,11
70127,1,6.78,16.94
70127,2,6.78,16.94
70127,99,2.54,14.4
1287,1,5.18,12.94
1287,2,5.18,12.94
1287,3,5.18,12.94
1287,4,5.18,12.94
1287,99,1.94,11
71203,1,7.98,19.94
71203,2,7.98,19.94
71203,3,7.98,19.94
71203,4,7.98,19.94
71203,99,2.99,16.95
71215,1,9.18,22.94
71215,2,9.18,22.94
71215,3,9.18,22.94
71215,4,9.18,22.94
71215,99,3.44,19.5
70883,1,9.18,22.94
70883,2,9.18,22.94
70883,99,3.44,19.5
70883,3,9.18,22.94
70883,4,9.18,22.94
71217,1,10.78,26.94
71217,2,10.78,26.94
71217,3,10.78,26.94
71217,4,10.78,26.94
71217,99,4.04,22.9
71197,1,13.18,32.94
71197,2,13.18,32.94
71197,3,13.18,32.94
71197,4,13.18,32.94
71197,99,4.94,28
69371,1,9.98,24.94
69371,2,9.98,24.94
69371,3,9.98,24.94
69371,4,9.98,24.94
69371,99,3.74,21.2
71219,1,15.98,39.94
71219,2,15.98,39.94
71219,3,15.98,39.94
71219,4,15.98,39.94
71219,99,5.99,33.95
